"Time,fr","Time,min",cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25
43,42.97797239,171.21,154.746,189.498,190.542,139.741,166.825,165.018,188.613,165.697,132.434,143.354,166.212,174.851,158.96,241.389,248.215,119.956,170.337,236.443,241.334,180.132,235.851,241.114,255.623,228.586
44,43.97746012,170.9,153.312,191.579,181.196,143.146,164.972,161.266,188.563,167.83,130.246,145.835,165.732,171.844,160.42,238.374,244.469,114.974,170.632,235.286,238.993,181.392,233.903,238.566,255.038,227.771
45,44.97694785,174.175,157.049,191.79,185.541,144.807,166.44,163.889,187.785,166.585,132.748,145.341,166.876,170.127,160.046,245.464,245.744,117.314,167.143,244.297,240.737,181.917,234.759,235.15,259.513,235.207
46,45.97643558,173.404,155.187,189.845,187.395,145.059,165.96,162.476,192.492,165.213,130.517,145.776,163.069,168.975,157.145,241.275,243.698,119.433,167.306,241.252,239.497,182.326,243.466,233.709,260.421,231.571
47,46.97592331,171.737,155.883,187.596,186.246,143.248,169.756,161.649,188.071,166.31,132.826,144.879,166.215,170.557,158.85,240.066,239.184,120.787,167.905,241.597,240.212,179.2,232.216,239.81,248.83,230.368
48,47.97541104,169.263,154.714,189.934,191.361,140.261,163.816,164.527,188.451,160.245,129.588,145.259,169.339,172.825,156.804,234.468,237.369,119.852,164.93,239.996,242.39,182.52,230.937,236.485,250.721,231.555
49,48.97489877,168.696,153.045,193.35,185.914,142.535,168.159,159.264,190.638,162.286,129.507,143.088,162.999,170.661,157.748,238.287,245.36,122.211,170.569,239.92,240.208,180.663,230.175,237.482,247.373,227.937
50,49.9743865,169.351,154.678,189.409,191.649,143.006,162.993,162.662,185.728,165.894,131.978,143.527,165.94,172.67,160.906,241.168,239.899,122.716,167.959,239.362,239.739,179.021,236.013,236.295,247.484,231.72
51,50.97387423,170.576,152.552,188.855,185.3,143.228,160.854,162.113,186.484,166.607,130.168,143.417,165.723,173.343,157.688,237.569,242.748,117.711,169.078,235.468,241.423,180.21,233.977,236.114,251.417,230.33
52,51.97336196,172.885,153.634,190.56,192.376,139.39,163.309,160.573,188.181,164.474,132.901,139.837,164.391,168.225,161.275,239.628,244.88,119.065,168.779,235.166,242.715,181.062,239.672,236.566,254.448,230.442
53,52.97284969,169.797,156.817,185.915,191.024,142.713,164.36,161.33,187.731,169.757,138.232,144.371,166.027,168.767,157.975,240.737,234.665,121.999,159.002,236.587,236.974,178.759,231.442,235.022,250.137,231.229
54,53.97233742,177.528,153.08,189.127,189.464,142.357,167.46,162.861,188.186,166.233,128.342,143.677,166.49,169.89,155.767,240.989,237.527,119.155,162.785,236.241,239.343,180.532,233.763,232.739,253.486,229.989
55,54.97182515,172.775,155.961,188.567,188.662,142.747,167.704,164.008,186.932,159.524,134.971,146.426,165.811,175.962,156.42,240.538,240.13,119.544,170.481,237.881,238.149,183.86,234.147,235.712,255.062,234.273
56,55.97131288,172.077,156.958,188.978,193.107,143.112,167.633,163.083,186.478,163.764,130.877,140.193,166.821,170.738,152.987,239.914,237.704,121.592,165.638,239.543,240.378,182.319,234.238,237.083,253.45,234.463
57,56.97080061,168.438,153.947,189.843,187.69,142.381,167.209,157.98,184.421,163.463,133.235,141.76,167.791,174.047,154.777,236.84,234.892,119.601,166.934,245.184,240.348,182.676,229.252,231.876,253.04,230.124
58,57.97028834,173.348,155.513,187.183,184.181,141.926,163.532,159.986,184.796,165.312,132.462,143.965,165.579,168.21,158.814,239.308,240.391,116.695,162.342,240.663,240.191,177.112,234.186,234.248,253.66,229.497
59,58.96977607,172.634,154.853,187.915,182.702,140.736,166.089,159.221,187.042,166.24,131.312,145.593,160.622,170.578,160.373,244.269,239.811,119.332,161.139,235.369,237.467,179.244,234.213,237.548,249.346,231.24
60,59.9692638,171.35,152.299,191.469,188.979,142.724,161.495,159.713,182.934,167.247,132.612,145.268,162.754,168.568,156.627,240.284,244.475,121.628,167.473,238.263,239.448,177.261,236.253,235.94,248.019,228.44
61,60.96875153,169.727,154.437,189.331,190.903,143.194,166.198,162.558,183.689,157.127,126.327,146.942,164.758,169.868,156.971,244.194,235.549,120.25,167.406,239.56,240.729,176.079,228.479,241.053,258.514,233.464
62,61.96823926,167.923,150.677,189.581,186.809,142.262,161.949,160.743,187.598,160.339,129.23,140.914,161.801,166.854,156.082,240.38,242.478,118.328,160.881,235.977,238.41,178.311,227.653,235.632,255.536,229.718
63,62.96772699,170.7,153.816,189.305,189.318,144.145,162.429,162.61,190.097,167.58,129.137,146.058,164.837,179.116,154.644,240.079,239.838,118.483,163.967,241.461,240.004,181.355,222.208,237.227,255.176,231.994
64,63.96721472,168.374,156.396,189.345,190.019,140.759,161.726,160.45,189.344,167.244,127.1,142.388,162.782,171.779,152.346,241.264,240.334,117.263,172.304,234.69,238.36,177.301,239.365,233.711,259.249,228.962
65,64.96670245,173.622,151.79,189.494,190.629,144.586,160.193,160.458,189.921,158.132,130.276,139.79,165.106,172.128,161.219,238.674,233.112,120.95,164.822,239.44,238.582,175.887,237.02,233.196,254.749,229.894
66,65.96619018,165.868,151.062,187.286,189.928,140.801,167.58,161.663,186.363,163.831,130.33,144.843,162.375,170.938,155.813,240.229,237.886,121.17,161.982,239.354,236.464,178.138,230.091,230.72,245.559,228.545
67,66.96567791,163.001,153.085,190.005,186.717,138.335,165.597,160.241,187.136,168.312,132.636,143.846,165.108,167.88,157.604,238.569,232.307,119.39,165.901,232.948,238.236,179.984,229.213,236.052,251.905,227.796
68,67.96516564,166.972,153.248,191.664,186.477,143.889,166.877,160.898,187.499,162.746,131.869,145.004,165.175,169.266,155.27,240.283,232.581,122.662,161.99,234.677,236.47,179.963,232.05,227.809,251.83,230.929
69,68.96465337,170.736,153.131,185.472,188.64,138.093,163.979,160.263,186.667,161.27,126.815,143.29,168.695,169.16,155.986,235.591,239.275,115.755,162.589,232.886,241.439,176.088,229.604,236.304,255.382,231.897
70,69.9641411,169.963,154.832,186.177,184.854,141.149,162.109,160.497,187.51,162.176,130.375,145.342,161.594,169.365,157.655,241.687,235.2,116.828,167.74,237.398,239.898,174.909,230.266,233.804,255.538,227.784
71,70.96362883,172.739,153.213,188.686,186.921,140.508,162.742,160.038,184.67,166.035,135.181,142.939,165.728,170.073,158.143,235.372,237.462,122.175,161.165,233.544,235.57,175.418,231.383,234.649,252.393,223.588
72,71.96311656,170.57,152.648,186.852,190.064,139.961,164.016,159.141,184.98,157.532,129.374,142.911,159.608,173.642,157.833,236.745,233.633,117.463,165.75,243.192,236.615,175.049,231.065,230.936,249,227.433
73,72.96260429,166.617,156.14,188.466,180.77,143.587,168.118,158.608,185.419,168.141,129.613,142.299,162.593,168.633,159.762,238.222,236.01,118.427,163.847,233.477,235.93,177.191,234.121,230.1,248.618,232.156
74,73.96209202,171.543,156.085,184.554,185.876,144.062,166.892,161.334,185.422,169.855,127.006,145.717,163.99,168.907,157.522,238.07,238.47,119.74,165.205,234.355,238.391,181.042,231.226,230.503,243.527,230.018
75,74.96157975,170.093,152.805,187.976,186.645,136.349,163.072,160.246,184.309,164.313,132.328,144.598,163.891,165.722,153.736,237.182,236.902,120.989,164.645,228.689,234.589,179.473,233.346,234.15,243.555,226.573
76,75.96106748,169.609,153.896,188.061,190.784,138.9,163.365,162.446,185.338,161.627,127.949,142.08,165.42,166.343,156.667,236.887,240.063,115.165,162.495,231.554,233.952,173.803,227.376,235.243,249.934,229.62
77,76.96055521,170.147,153.878,185.681,187.42,137.789,166.182,156.127,186.419,158.872,130.409,140.238,160.969,171.7,158.036,237.936,241.86,123.047,162.415,238.265,235.792,176.877,229.465,233.576,249.17,226.373
78,77.96004294,171.121,156.731,186.84,183.737,137.183,162.883,159.86,186.539,166.893,126.188,143.903,161.073,168.799,157.84,237.34,233.694,117.757,162.128,237.573,233.027,174.06,231.287,233.715,248.054,229.653
79,78.95953067,170.694,154.349,184.855,190.533,138.288,163.27,155.177,187.485,162.154,127.183,143.531,160.837,174.776,159.098,238.317,234.132,120.141,164.543,232.897,234.196,179.551,224.694,232.66,240.858,227.524
80,79.9590184,168.974,154.236,187.968,189.664,138.287,162.653,156.367,185.74,161.016,129.426,142.083,160.729,168.206,156.984,241.052,237.574,119.166,164.556,234.465,234.71,179.292,231.728,231.893,251.419,229.515
81,80.95850613,171.401,153.878,187.443,185.171,138.357,164.928,160.25,184.517,158.925,129.158,138.792,160.971,167.453,158.808,232.728,234.336,118.514,158.403,239.192,233.713,172.759,228.016,233.929,243.691,225.224
82,81.95799387,170.638,152.364,187.738,191.638,141.001,166.504,158.797,185.362,162.496,128.899,146.868,164.503,164.732,155.236,236.458,235.737,122.744,161.715,230.108,238.357,179.739,232.137,229.507,248.45,226.481
83,82.9574816,164.89,154.125,187.46,186.375,138.271,163.441,158.626,186.928,164.385,128.793,142.956,164.279,170.08,153.588,236.602,238.268,120.415,164.026,236.648,237.462,176.016,227.861,233.662,245.444,229.457
84,83.95696933,172.338,155.343,190.656,186.424,138.226,164.524,158.391,184.741,160.627,125.507,143.899,162.654,164.021,156.555,238.734,237.595,120.252,165.93,235.386,231.605,169.513,227.034,230.59,254.285,229.169
85,84.95645706,166.027,155.619,187.118,186.242,141.048,163.357,156.282,187.658,163.03,130.755,144.289,162.191,172.715,154.478,234.54,239.297,118.075,165.271,230.913,233.341,174.121,226.439,235.486,248.056,227.368
86,85.95594479,171.661,152.658,185.128,187.136,138.864,165.41,160.508,185.924,160.343,130.15,144.193,160.117,170.665,157.98,235.705,236.612,121.906,162.124,236.437,236.054,177.685,234.689,233.365,252.474,224.966
87,86.95543252,168.98,150.588,186.042,193.46,138.645,168.404,160.295,186.325,163.969,127.045,141.598,163.117,171.091,156.659,237.505,239.901,119.005,166.481,233.988,234.997,179.272,230.212,229.296,247.842,223.92
